id,prompt,teach
enter-tab-direction,"Enter three day names across a row with Tab, and let Enter bring you back under the first.",
escape-cancels,"Start typing over the title, then throw the entry away with Esc.",
ctrl-enter-fill,Put this week’s label in all five site rows with one entry.,
edit-caret,Add to a cell’s text without retyping it.,
find-replace,Land on the feed’s first Saturday without scrolling.,
undo-redo,"Break a figure, take it back, put the break back, take it back again.",
copy-cut-paste,"Carry the headers down the page, then move the units line.",
fill-down-right,Correct one label and push it across the row.,
paste-special,Freeze the total row as numbers in place.,
replace-all,Swap last week’s label for this week’s everywhere on the page in one go.,
fill-series,Type one day and let Fill Series write the rest.,
insert-delete-rows,Insert a row inside the site block and watch the total follow; then take it out.,
ref-error,"Delete a row a formula depends on, read the error, heal it with undo.",
column-width,Give the Site column a width you choose.,
autofit,Let the column size itself to its longest entry.,
wrap-text,Make a long header wrap inside its column.,
hide-unhide,"Hide two columns the way most people do, then bring them back.",
group-ungroup,"Fold two working columns behind an outline button, then ungroup them.",
freeze-panes,Keep the header rows and the site column on screen while the page scrolls.,
format-cells-dialog,Open Format Cells by shortcut and back out cleanly.,
number-formats,"Comma, no decimals, on a block of figures in three presses.",
borders-menu,"Give the total row a top border, the way the team marks a total.",
center-across,Center the title over the page without merging a single cell.,
f4-repeat,"Format one block, then repeat it on the next with a single key.",
pointing,Write a formula by pointing at its cells.,
autosum,Total every column of a block in one press.,
sum-family,Two of SUM’s family on the site block.,
f4-anchor,One formula whose anchors let it fill both ways.,
cross-sheet-ref,Link a figure on the Report to the feed by pointing on the other sheet.,
show-formulas,"See every formula on the page at once, then put the figures back.",
formula-errors,Read an error code and fix the formula behind it.,
orientation,Turn the page sideways for a wide report.,
print-titles,Keep the heads on every printed page.,
check-cell,Write one live difference that proves two figures agree.,
ctrl-arrow,Get to the bottom of the feed and back to the top without scrolling.,
ctrl-home-end,"Land on the last used cell, then back on A1.",
ctrl-shift-arrow,Select the whole Revenue column of the feed in one move.,
shift-arrow,Select one site’s week of dates by hand.,
row-col-select,Select a row and a column of the feed with the keyboard.,
ctrl-a,Select the whole feed in one press.,
sheet-tabs,Move to the Costs sheet and back to Raw by keyboard.,
go-to,"Land on a cell by address, across sheets.",
rename-sheet,Give the scratch tab its proper name.,
gridlines,Turn the gridlines off on the sheet a reader sees.,
font-color,Color a typed figure blue the way a model reads it.,
go-to-special,Select every typed number in a block in one go.,
bold-command,Make the feed’s header row bold.,
keytips,Reach a command by KeyTips and back out one level at a time.,
