lesson_id,goal_index,text,teach,why,hint_stuck
inherited-workbook,0,"Round one, the slow way: walk down the dates with ↓ until you reach the last one, A61.",The arrow keys move the active cell one cell per press — feel how long sixty rows takes.,,
inherited-workbook,1,"Round two: back to the top with Ctrl+Home, then the same trip in one Ctrl+↓ — the Name Box reads A61.","Ctrl+Home returns to A1 and Ctrl+Arrow jumps to the edge of the data in one press; the Name Box, left of the formula bar, shows the cell you landed on.",,
inherited-workbook,2,"Take the two dates above with Shift+↑, then the whole date column in one Ctrl+Shift+↑: the selection reads A1:A61.",Shift+Arrow grows a selection one cell per press; add Ctrl and the same jump selects to the edge in one press.,,
inherited-workbook,3,"Walk the tabs to Costs and land on the Domain total E4: the grid shows a number, the formula bar shows =B4+C4+D4.","A workbook is the file and the tabs along the bottom are its sheets: Ctrl+PgDn / Ctrl+PgUp walk them, and the formula bar shows what the active cell really holds.",,
inherited-workbook,4,Sheet2 is the associate’s inputs scratch — go there and rename it Inputs.,"Rename Sheet, Home › Format (Alt, H, O, R), opens the active tab’s name: type the new one and press Enter.",,
inherited-workbook,5,Old wk37 is a dead half-export — delete it and confirm.,"Delete Sheet (Alt, H, D, S) removes the active sheet; Excel asks first, because a deleted sheet cannot be undone.",,
inherited-workbook,6,Insert the sheet the weekly report will live on and rename it Report.,Shift+F11 inserts a new worksheet in front of the active one and makes it active.,,
inherited-workbook,7,The report reads first: move Report to the front of the workbook.,"Move or Copy Sheet (Alt, H, O, M) moves the active sheet: ↑ ↓ pick where it will sit, Enter confirms.",,
ribbon-by-keyboard,0,"Open the Ribbon with Alt, step into Home › Font, then back all the way out with Esc.","Alt shows KeyTips: every tab and command has a letter, and Esc backs out one level at a time.",,
ribbon-by-keyboard,1,"Walk to the View tab with Alt, W, look at what lives there, and leave with Esc.","The tab letters never change: H Home, N Insert, P Page Layout, M Formulas, A Data, W View.",,
ribbon-by-keyboard,2,Report is a page someone reads: turn its gridlines off.,"View › Show › Gridlines (Alt, W, V, G) toggles the grid on the active sheet only.",,
ribbon-by-keyboard,3,"Open Format Cells with Ctrl+1, glance at its tabs, and close it with Esc.",Ctrl+1 opens Format Cells from anywhere — the dialog behind most formatting.,,
ribbon-by-keyboard,4,"Open the same dialog the long way, Alt, H, O, E, and close it again.","Every dialog also has a Ribbon route — Format Cells is Home › Format › Format Cells, Alt, H, O, E.",,
analyst-setup,0,"Press F9 once — on Automatic it is instant, and your hands should know it.","Calculation is Automatic here; F9, Calculate Now, is the key you live on when a big model goes Manual.",,
analyst-setup,1,Open Excel Options and enable iterative calculation.,"Alt, F, T opens Excel Options; on the Formulas page, I enables iterative calculation, which circular models need.",,
analyst-setup,2,Add Font Color to the Quick Access Toolbar.,"Q opens the Quick Access Toolbar page: ↑ ↓ pick a command, A adds it, Enter is OK.",,
analyst-setup,3,Add Fill Color the same way.,,,
analyst-setup,4,Add Borders.,,,
analyst-setup,5,"Add Decrease Decimal, the last of the four.",,,
analyst-setup,6,"Run one from the keyboard: Alt, then 2 — Undo, straight off the toolbar.",Alt alone numbers the toolbar 1–9; Alt then the number runs that command from anywhere.,,
colour-label-hardcode,0,The inputs scratch needs an owner’s pass: move to the Inputs sheet.,,,
colour-label-hardcode,1,Add the units line: type USD unless stated into A2.,"Type and press Enter to commit; every pack page states its currency once, near the top.",,
